src_lang,tgt_lang,src_text,tgt_text,src_len,tgt_len,src_tokens,tgt_tokens,lang_pair,translation,bleu
en,sv,"* On Dec 30, Vechapal village Poonem Pandu and Poonem Motu (father and son) killed","· Den 30 december, byn Vechapal, Poonem Pandu och Poonem Motu (far och son ) dödade.",82,84,15,16,en_sv,* Den 30 december dödade byn Vechapal Poonem Pandu och Poonem Motu (far och son),56.86213893610653
en,sv,"An important element of data protection is the regular update of all software used by the Operator to process personal data, which in particular means regular updates of programming components.",En viktig del av dataskyddet går ut på att regelbundet uppdatera all programvara som används av Operatören inom ramen för behandling av personuppgifter.,193,152,30,23,en_sv,"Ett viktigt inslag i dataskyddet är den regelbundna uppdateringen av all programvara som operatören använder för att behandla personuppgifter, vilket i synnerhet innebär regelbundna uppdateringar av programmeringskomponenter.",6.471824245088331
en,sv,Now he could hear them even more clearly outside.,Nu hörde han dem ännu tydligare utanför.,49,40,9,7,en_sv,Nu kunde han höra dem ännu tydligare utanför.,48.54917717073236
en,sv,Resetting the base to the original PIN code 0000:,Återställa basstationen till den ursprungliga pinkoden 0000:,49,60,9,7,en_sv,Återställer basen till den ursprungliga PIN-koden 0000:,25.848657697858535
en,sv,Will treatment affect the ability to have children?,Påverkar läkemedlet förmågan att få barn?,51,41,8,6,en_sv,Kommer behandlingen att påverka förmågan att få barn?,44.63236137853326
en,sv,"Most of us have filled our days full from beginning to end with endless to dos and commitments: work, home, kid's activities, community events, religious endeavors, hobbies… the list goes on.","Dina åtaganden - De flesta av oss har fyllt våra dagar från början till slut med åtaganden: arbete, hem, barnens aktiviteter, samhällsevenemang, religiösa strävanden och hobbies … listan kan göras lång.",191,202,31,31,en_sv,"De flesta av oss har fyllt våra dagar från början till slut med oändliga ansträngningar och åtaganden: arbete, hem, barns aktiviteter, samhällsevenemang, religiösa strävanden, hobbyer... listan fortsätter.",58.62741927825989
en,sv,Confrontation - a person comes back to reality in attempt to modify it.,Konfrontation: en person återvänder till verkligheten och försöker modifiera den.,71,81,13,10,en_sv,Konfrontation - en person kommer tillbaka till verkligheten för att försöka modifiera den.,16.06455374563062
en,sv,You mean like that??,Menar du sån här???,20,19,4,4,en_sv,"Så där, menar du?",8.170609724417774
en,sv,It's very homogenous.,Men det är väldigt homogena,21,27,3,5,en_sv,Det är väldigt homogent.,21.3643503198117
en,sv,"There are consequences if you turn away, refusing God's offer of mercy.","Man missade chansen att försonas med Gud, man tackade nej till Guds erbjudande om räddning.",71,91,12,15,en_sv,Det får konsekvenser om du vänder dig bort och vägrar att visa Guds barmhärtighet.,3.2525808457905
en,sv,Aldous Huxley said that words can be like X-rays.,Aldous Huxley sade att ord kan vara som röntgen.,49,48,9,9,en_sv,Aldous Huxley sa att ord kan vara som röntgenbilder.,46.713797772819994
en,sv,"""Behold, I have arrived - in the scroll of Your book it is written about Me - to do Your will, O My God.""","Se, jag kommer; i boken är skrivet om mig, att jag skall göra din vilja, o Gud.""",105,80,24,17,en_sv,"""Se, jag har kommit - i din bokrulle är det skrivet om mig - att göra din vilja, min Gud.""",21.800193956058212
en,sv,"The Christian worldview sees and understands God the Creator and His creation (man and the world) through the lens of God's Holy Scriptures, for the purpose of behaving in accordance with God's will and glorifying God.","Jag tror att kristna perspektiv r frst rttfrdiga frmst i Guds ord, och till och med filosofer, om deras tankegngar r baserade p Guds ord och verensstmmer med Guds Ord.",218,167,36,30,en_sv,"Den kristna världsbilden ser och förstår Gud Skaparen och hans skapelse (människan och världen) genom Guds Heliga Skrifts lins, i syfte att uppföra sig i enlighet med Guds vilja och förhärliga Gud.",3.140398953991723
en,sv,Good for Indians,Trevligt för indianer,16,21,3,3,en_sv,Bra för indianer,55.03212081491043
en,sv,I cannot read so fast.,Jag kan inte läsa så fort.,22,26,5,6,en_sv,Jag kan inte läsa så fort.,100.00000000000004
en,sv,Extra rooms are,Här finns specialsalar,15,22,3,3,en_sv,Extra rum är,0.0
en,sv,"Importantly, no anonymous sources are to be used.",De kan också hävda att anonoyma källor inte ska användas.,49,57,8,10,en_sv,Viktigast av allt är att inga anonyma källor får användas.,8.913765521398126
en,sv,This is certainly a skiers dream.,Det är helt enkelt en skidåkares dröm.,33,38,6,7,en_sv,Detta är verkligen en skidåkardröm.,7.654112967106117
en,sv,"Google pledged to discontinue the experiment within two years, emphasizing that it did not want to establish its selected post-quantum algorithm as a de facto standard.","Google lovade att avbryta försöket inom två år, och betonar att de inte vill etablera sin valda efter kvantalgoritm som en de facto-standard.",168,141,26,23,en_sv,"Google lovade att avbryta experimentet inom två år, betona att det inte ville fastställa sin valda post-kvantum algoritm som en de facto-standard.",36.30856147396857
en,sv,I introduced myself and explained why I had come.,Jag presenterade mig och förklarade varför jag kommit.,49,54,9,8,en_sv,Jag presenterade mig och förklarade varför jag hade kommit.,70.71067811865478
en,sv,Biomedicum is a flagship for experimental basic research on health and diseases - both in Sweden and around the world.,Biomedicum är ett flaggskepp för experimentell grundforskning kring hälsa och sjukdom - i Sverige och internationellt.,118,118,20,16,en_sv,Biomedicum är ett flaggskepp för experimentell grundforskning om hälsa och sjukdomar – både i Sverige och runt om i världen.,37.39214909689668
en,sv,Everything else falls by the wayside and becomes insignificant.,Allt annat kommer i skymundan och blir oviktigt.,63,48,9,8,en_sv,Allt annat faller vid vägen och blir obetydligt.,14.25876976452075
en,sv,The supply side of the equation,Programvara sidan av ekvationen,31,31,6,4,en_sv,Ekvationens utbudssida,0.0
en,sv,Today he can walk without any help.,Idag kan han gå utan hjälpmedel.,35,32,7,6,en_sv,Idag kan han gå utan hjälp.,64.34588841607616
en,sv,"For hunting and heroism were of old specially and naturally associated, . . .",Jakt och hjältemod var nämligen sedan gammalt särskilt och naturligt förbundna med varandra.,77,92,14,13,en_sv,"För jakt och hjältemod var av gammalt speciellt och naturligt samband,...",13.380161378318954
en,sv,This tea with the rich content of antioxidants is ideal to drink in the afternoon.,Grönt te med ingefära Detta antioxidantrika te är bra att dricka på eftermiddagen.,82,82,15,13,en_sv,Detta te med det rika innehållet av antioxidanter är perfekt att dricka på eftermiddagen.,30.130404892785695
en,sv,"With super-wide, soft, sandy beaches; an amusement pier; a beachfront boardwalk; and some seriously good restaurants, Santa Monica offers the best overall beach experience in Los Angeles.","Med super-breda, mjuka sandstränder; en nöjesbrygga; en strandpromenad; och några seriöst bra restauranger, erbjuder Santa Monica den bästa övergripande strandupplevelsen i Los Angeles.",187,185,27,23,en_sv,"Med super-breda, mjuka, sandiga stränder; en nöjesbrygga; en strandpromenad; och några allvarligt bra restauranger, Santa Monica erbjuder den bästa övergripande strandupplevelsen i Los Angeles.",61.618529159320445
en,sv,Opens on April 26.,Öppnar 26 april.,18,16,4,3,en_sv,Öppnas den 26 april.,39.76353643835252
en,sv,"U.N. chief Ban Ki-moon has criticized the plan and Amnesty International called it ""mean spirited.","FN: s chef Ban Ki-moon har kritiserat planen och Amnesty International kallade det ""meningsfullt"".",98,98,15,14,en_sv,"FN-chef Ban Ki-moon har kritiserat planen och Amnesty International kallade den ""betydelsefull"".",52.812131374276895
en,sv,Or to Iran?,Eller till Iran?,11,16,3,3,en_sv,Eller till Iran?,100.00000000000004
en,sv,We hope you've enjoyed this post and want to thank you again for choosing Prisync as your software vendor.,Vi hoppas du har haft detta inlägg och vill tacka er igen för att välja Prisync som din mjukvaruleverantör.,106,107,19,19,en_sv,Vi hoppas att du har njutit av detta inlägg och vill tacka dig igen för att du valt Prisync som din programvaruleverantör.,29.45642544824926
en,sv,"I'm weak, is that what you wanted to hear?","Är det min tystnad, är det den du skulle höra, du?",42,50,9,11,en_sv,"Jag är svag, var det vad du ville höra?",4.46547409295887
en,sv,Titanfall is unique in the way that it places equal emphasis on two drastically different and new ways to move and fight in a first-person shooter.,Titanfall är unikt på det sättet att det placerar lika mycket vikt på två drastiskt olika och nya sätt att röra sig och strida i ett FPS-spel.,147,142,26,27,en_sv,Titanfall är unikt på det sättet att det lägger lika stor vikt vid två drastiskt olika och nya sätt att röra sig och slåss i en förstapersonsskytt.,58.898495083796114
en,sv,If you do not then what does that say about you?,"Om du inte kan det, vad säger det om dig då?",48,44,11,11,en_sv,"Om du inte gör det, vad säger det om dig då?",76.11606003349888
en,sv,We understand that we've played in pretty friendly environments for quite some time now. ...,Vi har spelat i ganska styrda omgivningar under en längre tid nu.,92,65,15,12,en_sv,Vi förstår att vi har spelat i ganska vänliga miljöer ganska länge nu....,17.694975149532556
en,sv,One of them can move items by concentrating on them.,Hon kan få saker att röra sig genom att koncentrera sig på dem.,52,63,10,13,en_sv,En av dem kan flytta föremål genom att koncentrera sig på dem.,45.03303524166187
en,sv,Just trying to stay mentally strong.,Försöker vara mentalt stark.,36,28,6,4,en_sv,Jag försöker bara vara mentalt stark.,41.11336169005198
en,sv,"Distribution transformers normally have ratings less than 200 kVA, although some national standards can allow for units up to 5000 kVA to be described as distribution transformers.","Distributionstransformatorer har normalt värden mindre än 200 kVA, även om vissa nationella standarder kan tillåta enheter upp till 5000 kVA som beskrivs som distributionstransformatorer.",180,187,27,24,en_sv,"Distributionstransformatorer har normalt mindre än 200 kVA, även om vissa nationella standarder kan göra det möjligt att beskriva enheter upp till 5000 kVA som distributionstransformatorer.",63.6125735277583
en,sv,in which country are steroids legal,Vilka Länder är Steroider Lagligt I,35,35,6,6,en_sv,i vilket land är steroider lagligt,8.116697886877475
en,sv,"There is a guarantee of employment for the Volkswagen Motorsport employees,"" said Frank Welsch.","- De anställda i Volkswagen Motorsport är garanterade fortsatt anställning, sade Frank Welsch.",95,94,14,13,en_sv,"Det finns en garanti för sysselsättning för Volkswagen Motorsport anställda, säger Frank Welsch.",13.380161378318954
en,sv,"We're not growing at the same rates.""","Vi växer inte upp på samma sätt.""",37,33,7,7,en_sv,"Vi växer inte i samma takt.""",24.0785655451027
en,sv,"Read More , sluggish programs launching on start-up might be the culprit.","Läs mer, tröga program som startar vid start kan vara den skyldige.",73,67,12,12,en_sv,"Läs mer, tröga program som startar vid start kan vara boven.",77.99950505759813
en,sv,Compulsory insurance by law,obligatorisk försäkring enligt lagen,27,36,4,4,en_sv,Obligatorisk försäkring enligt lag,31.947155212313625
en,sv,The best thing about the movie however is the script.,Det bästa i filmen är dock manuset.,53,35,10,7,en_sv,Det bästa med filmen är dock manuset.,59.4603557501361
en,sv,We have to try and get the best out of every player'.,Där kommer vi behöva få ut det bästa ur varje spelare,53,53,12,11,en_sv,Vi måste försöka få ut det bästa av varje spelare.,27.901593935858266
en,sv,"Skåne University Hospital in Lund will develop a test bed, a modernly equipped operating room with associated preparatory and control rooms of a total of 350 square meters, directly adjacent to Vävnadsbanken (Scandinavia's largest tissue institution).","Skånes Universitetssjukhus i Lund skall utveckla en testbädd, en modernt utrustad operationssal med tillhörande förberedelse- och kontrollrum på total 350 kvm i direkt anslutning till Vävnadsbanken (Skandinaviens största vävnadsinrättning).",251,240,36,29,en_sv,"Skånes universitetssjukhus i Lund kommer att utveckla en testbädd, ett modernt utrustat operationsrum med tillhörande förberedande och kontrollrum på totalt 350 kvadratmeter, i direkt anslutning till Vävnadsbanken (Scandinavias största vävnadsinstitution).",28.569627965137585
en,sv,"They were married in June, 1940 and lived out the rest of their lives together.",De gifte sig 1940 och levde sedan resten av sina liv tillsammans.,79,65,15,12,en_sv,De gifte sig i juni 1940 och levde resten av livet tillsammans.,24.316915840399716
en,sv,And then there is the question of failure.,Sedan har vi frågan om vad som är ett misslyckande.,42,51,8,10,en_sv,Och sedan har vi frågan om misslyckande.,28.256772704628215
en,sv,Taking away their vote is taking away their dignity.,Att då dra in ersättningen är att ta ifrån dem deras värdighet.,52,63,9,12,en_sv,Att ta ifrån dem deras röst är att ta bort deras värdighet.,34.811345877462834
en,sv,Life is a Gift; Don't Forget It,Livet är en gåva glöm inte det.,31,31,7,7,en_sv,Livet är en gåva; glöm det inte,39.76353643835254
en,sv,We will not accept screen captures or images.,Vi tar inte emot bilder eller skärmdumpar.,45,42,8,7,en_sv,Vi accepterar inte skärminspelningar eller bilder.,8.513058489093439
en,sv,Legacy of a Predecessor,Legacy of Föregångare,23,21,4,3,en_sv,En precessors arvsanlag,0.0
en,sv,Will you send me a prayer text?,Kommer jag att få tiggerisamtal?,31,32,7,5,en_sv,Kan du skicka mig en bönetext?,6.567274736060395
en,sv,This is not in the interest of either debtors or creditors.,Det gagnar varken fordringsägarna eller den skuldsatte.,59,55,11,7,en_sv,Detta ligger inte i vare sig gäldenärers eller borgenärers intresse.,4.456882760699063
en,sv,The prevalence of the tool is undisputed.,Verktygets popularitet är fortsatt odiskutabel.,41,47,7,5,en_sv,Prevalensen av verktyget är obestridd.,9.652434877402245
en,sv,issue a final rule which shall,väljer en regel som måste,30,25,6,5,en_sv,utfärda en slutlig regel som,23.643540225079384
en,sv,Product and market.,Produkt och marknad.,19,20,3,3,en_sv,Produkt och marknad.,100.00000000000004
en,sv,He was born on Apri...,Födda i apri...,22,15,5,3,en_sv,Han föddes på Apri...,24.446151121745054
en,sv,[I want to] build a business and a financial stockpile to allow my family and I to travel when and where we want to.,(Jag vill) bygga ett företag och en finansiell lager så att min familj och jag kan resa när och var vi vill.,116,108,24,22,en_sv,[Jag vill] bygga ett företag och ett finansiellt lager för att låta min familj och jag resa när och var vi vill.,45.78226095312775
en,sv,"By charting the numbers calculated in Section 2, you can generate a graph that displays the general trends that took place for the quantities that you are analyzing.",Genom att kartlägga de siffror som beräknats i avsnitt 2 kan du generera ett diagram som visar de allmänna trenderna som ägde rum för de kvantiteter du är analys.,165,162,28,29,en_sv,"Genom att kartlägga de tal som beräknas i Avsnitt 2, kan du generera en graf som visar de allmänna trender som ägde rum för de mängder som du analyserar.",32.14606994468289
en,sv,There is enough land to raise the number of animals we should eat.,på jorden att föda upp så mycket djur som vi kommer att konsumera.,66,66,13,13,en_sv,Det finns tillräckligt med mark för att öka antalet djur vi bör äta.,4.016138436407654
en,sv,Until 30th April we are offering…,Fram till och med måndagen den 30 april erbjuder vi,33,51,6,10,en_sv,Fram till den 30 april erbjuder vi...,45.180100180492246
en,sv,"Therefore, everything is known because there is awareness of it.",Allt det här vet man för det finns kunskap om detta.,64,52,10,11,en_sv,Därför är allt känt eftersom det finns medvetenhet om det.,8.606119900909883
en,sv,"Masquerading as a man, Hua Jun is tested every step of the way but she must harness her inner-strength and embrace her true potential.","Maskerad som en man, Hua Jun, testas hon varje steg på vägen och måste utnyttja hennes inre styrka och omfamna hennes sanna potential.",134,134,24,23,en_sv,"Hua Jun, som är en man, testas varje steg på vägen, men hon måste utnyttja sin inre styrka och omfamna sin sanna potential.",31.80882284704437
en,sv,"""The nobility of the soul, the elegance of every day gestures, the joy of sharing from generation to generation, and the effortless perfection of a single white flower.","""Själens ädla karaktär, elegansen hos de vardagliga gesterna, glädjen att föra vidare ett arv från generation till generation och den enkla fulländningen hos en enda vit blomma.",168,177,28,27,en_sv,"""Själens ädelhet, elegansen i varje dags gester, glädjen att dela från generation till generation, och den enkla perfektionen av en enda vit blomma.",28.82645440965462
en,sv,In this case the App shall seek the prior express consent of the Visitors concerned.,I det här fallet bör webbplatsen söka de berörda besökarnas förhandsgodkännande.,84,80,15,11,en_sv,I detta fall ska Appen begära ett uttryckligt förhandsgodkännande från de berörda Besökarna.,7.141816289329644
en,sv,So what do you do when you know your boss is wrong?,Vad gör du när du ser att din broder handlar fel?,51,49,12,11,en_sv,Så vad gör du när du vet att din chef är fel?,26.130226596777135
en,sv,Why would I want to combine my endpoint security with the Cloud Console?,Varför skulle jag vilja kombinera mitt klientdatorskydd med molnkonsolen?,72,73,13,9,en_sv,Varför skulle jag vilja kombinera min slutpunktssäkerhet med Cloud Console?,38.16330911371339
en,sv,"When I compare my life ""before"" and ""after,"" I am amazed how I bore this load of sadness and purposelessness.","Så fylld med ""fördomar"" som jag är, så anpassar jag kortanvändandet efter situationen och platsen.",109,98,20,15,en_sv,"När jag jämför mitt liv ""före"" och ""efter"" är jag förvånad över hur jag bar denna börda av sorg och meningslöshet.",2.703251334489793
en,sv,Are there particular skill sets as a nurse that they should focus on?,Om inte: Finns någon specialinriktning som sjuksköterska som du skulle bli motiverad av?,69,88,13,13,en_sv,Finns det särskilda färdigheter som sjuksköterska som de bör inrikta sig på?,11.202079346313559
en,sv,"All in all, the island was prosperous.",Vid den tiden var ön fruktbar.,38,30,7,6,en_sv,På det hela taget var ön välmående.,12.22307556087252
en,sv,Tables with drawers make you want to store things in them that you'll forget about.,Bord med lådor gör att du vill förvara saker i dem som du kommer att glömma bort.,83,81,15,17,en_sv,Bord med lådor gör att du vill lagra saker i dem som du kommer att glömma.,73.06019860765525
en,sv,problems and setbacks for anyone who uses multiple accounts.,Ett tveksamt nöje för den som använder flera konton.,60,52,9,9,en_sv,problem och bakslag för alla som använder flera konton.,41.11336169005198
en,sv,Best price is in the USA.,Bättre pris i USA.,25,18,6,4,en_sv,Bästa priset är i USA.,30.213753973567677
en,sv,"However, attacks may become more frequent in some patients as they age.",Dock kan attacker bli vanligare hos vissa patienter när de blir äldre.,71,70,12,12,en_sv,Men attacker kan bli vanligare hos vissa patienter när de åldras.,51.86805880190238
en,sv,2: Human Rights and Freedoms,Artikel 2: Rättigheter och friheter,28,35,5,5,en_sv,2: Mänskliga rättigheter och friheter,22.957488466614336
en,sv,"Many persons who paddle with us have no previous experience, and the techniques are easy to learn.","De flesta som paddlar med oss har ingen tidigare erfarenhet, men paddeltekniken är lätt att lära sig.",98,101,17,17,en_sv,"Många människor som paddlar med oss har ingen tidigare erfarenhet, och teknikerna är lätta att lära sig.",56.82854869630478
en,sv,"The hospitality industry demands adaptability and in-depth knowledge of the behavior, lifestyles, and areas of interest of an increasingly demanding international clientele.","Gästfrihetsbranschen kräver anpassningsförmåga och en djup kunskap om beteende, livsstil och intresseområden för en alltmer krävande internationell kundkrets.",173,158,22,18,en_sv,"Gästvänlighetsindustrin kräver anpassningsförmåga och fördjupad kunskap om beteende, livsstilar och områden av intresse för en alltmer krävande internationell kundkrets.",46.2985228134777
en,sv,To learn by teaching others.,Lär genom att lära andra.,28,25,5,5,en_sv,Att lära genom att undervisa andra.,19.64073254502566
en,sv,"Open to everyone, this fun and app hokk dating app is made for singles chicago singles dating beards and singles looking for someone with a beard.","Öppen för alla, är denna roliga och super specifik dating app gjord för singlar med skägg och singlar som söker någon med ett skägg.",146,132,26,24,en_sv,"Öppen för alla, denna roliga och app hokk dating app är gjord för singlar chicago singlar dating skägg och singlar söker någon med skägg.",26.47960708656545
en,sv,"I just wanted to let you know you were right.""","Jag ville bara berätta att du hade rätt.""",46,41,10,8,en_sv,"Jag ville bara säga att du hade rätt.""",59.694917920196445
en,sv,"Virtually everyone in Washington thought he should be fired for the awful job he did-until he was, in fact, fired.","I princip alla i Washington ansåg att han skulle sparkas för sitt usla jobb, fram tills det att han faktiskt sparkades.",114,119,20,21,en_sv,Nästan alla i Washington tyckte att han borde få sparken för det hemska jobbet han gjorde- tills han faktiskt fick sparken.,10.110173740732797
en,sv,Wendy Nilsen: A lot of things.,Bengt Nilsson: Det är mycket det ...,30,36,6,7,en_sv,Wendy Nilsen: Många saker.,4.955725306405571
en,sv,Do something for yourself and your family.,Gör något för dig själv och familjen.,42,37,7,7,en_sv,Gör något för dig själv och din familj.,61.04735835807847
en,sv,"This can be in list form, narrative form, created like a mind map, or in another format, but should cover the areas of life that are most important to you.","Detta kan vara i listform, berättande formulär, skapad som en tankekarta eller i ett annat format, men bör täcka de områden av livet som är viktigast för dig.",155,158,30,28,en_sv,"Detta kan vara i listform, berättande form, skapad som en tankekarta, eller i ett annat format, men bör täcka de områden av livet som är viktigast för dig.",83.49950232057648
en,sv,They die shortly after spawning.,De dör kort efter parningen.,32,28,5,5,en_sv,De dör strax efter leken.,19.304869754804482
en,sv,*Medieval peasants had perfect teeth.,Medeltida bönder hade perfekta tänder.,37,38,5,5,en_sv,*Medietidens bönder hade perfekta tänder.,61.47881529512643
en,sv,This was the crew that I wanted.,Det här gruppen som jag ville ha.,32,33,7,7,en_sv,Det här var besättningen jag ville ha.,41.11336169005198
en,sv,"Remind the children to perform Taraweeh Prayer and to prepare for it by not eating too much and to get ready in time to perform the prayer in the mosque, (if a mosque is nearby.",Påminna dem att be qiyaam (taraweeh) och förbereda inför det genom att inte äta för mycket och att vara redo i tid för att utföra bönen i moskén.,177,145,35,28,en_sv,"Påminn barnen att utföra Taraweeh bön och att förbereda sig för den genom att inte äta för mycket och att göra sig redo i tid för att utföra bönen i moskén, (om en moské är i närheten.",38.298786592036166
en,sv,"All this is due to metal powder filters, which ""select"" light as it enters.","Allt detta beror på metallpulverfiltret, som ""väljer"" ljuset när det kommer in.",75,79,14,12,en_sv,"Allt detta beror på metallpulverfilter, som ""väljer"" ljus när det kommer in.",53.33505353503043
en,sv,I chose to make a cake ball for a couple of reasons: 1.,Jag valde att bada näck av flera anledningar; 1.,55,48,13,9,en_sv,Jag valde att göra en tårta boll av ett par skäl: 1.,13.912311644176565
en,sv,binding of various substances in the blood,• Transporterar olika ämnen i blodet,42,36,7,6,en_sv,bindning av olika substanser i blodet,17.965205598154213
en,sv,"So, what's hot for 2019?",Så vad är hett för 2019,24,23,5,6,en_sv,Vad är varmt för 2019?,17.965205598154213
en,sv,"Next to that is a web browser button, file manager button and Terminal button.","Bredvid det är en webbläsarknapp, filhanterarknapp och Terminal-knapp.",78,70,14,8,en_sv,"Bredvid det är en webbläsare knapp, filhanterare knapp och Terminal-knappen.",24.384183193426086
en,sv,How unimportant was she?,SÅ oviktig är hon?,24,18,4,4,en_sv,Hur oviktig var hon?,23.643540225079384
en,sv,There are too many companies out there who dont deliver on their promises.,Det finns väldigt många företag där ute som inte håller vad de lovar.,74,69,13,13,en_sv,Det finns för många företag där ute som inte lever upp till sina löften.,37.5022891676693
en,sv,Tom Ford conditioning beard oil,Oud Wood Conditioning Beard Oil från Tom Ford,31,45,5,8,en_sv,Tom Ford vårdande skäggolja,11.752701606523267
en,sv,[I am really struck by this statement.,[Jag är ganska imponerad av det här inlägget.,38,45,7,8,en_sv,[Jag är verkligen imponerad av detta uttalande.,20.90067144241745
en,sv,Compassion is not a Relationship between the Healer and the Wounded.,Medkänsla är inte ett förhållande mellan den helande och den sårade.,68,68,11,11,en_sv,Medkänsla är inte ett förhållande mellan helaren och sårade.,49.02608580435959
en,sv,He does powerpoint presentation and will therefore require the,gruppen ska göra PowerPoint presentation och därför blir det ofta han som,62,73,9,12,en_sv,Han gör powerpoint presentation och kommer därför att kräva,7.561318691530973
en,sv,It is useless to ask a seriously injured person if they have high cholesterol and about the level of their blood sugars!,Det är meningslöst att fråga en allvarligt skadad person om han har högt kolesterol och om graden av hans blodsocker !,120,118,22,21,en_sv,Det är meningslöst att fråga en allvarligt skadad person om de har högt kolesterol och om nivån på sitt blodsocker!,63.64058876086589
en,sv,The Innovation in Intelligence Surveillance and Reconnaissance Management MSc (ISR) is designed to bring together practitioners from a wide area of ISR systems in a comprehensive academic programme.,Innovation i Intelligence Surveillance and Reconnaissance Management MSc (ISR) är utformad för att sammanföra utövare från ett brett område av ISR-system i ett omfattande akademiskt program.,198,190,28,26,en_sv,Innovation in Intelligence Surveillance and Reconnaissance Management MSc (ISR) är utformad för att sammanföra praktiker från ett brett område av ISR-system i ett omfattande akademiskt program.,84.09760644533058
en,sv,We have excess capacity in most industries today.,Vi har en överkapacitet i de allra flesta branscher.,49,52,8,9,en_sv,Vi har överkapacitet i de flesta industrier idag.,21.721856265678966
en,sv,Stockholm University offers foreign social workers a supplementary training programme of four semesters.,För utländska socionomer erbjuder Stockholms universitet en kompletterande utbildning som pågår i fyra terminer.,104,112,13,14,en_sv,Stockholms universitet erbjuder utländska socialarbetare ett kompletterande utbildningsprogram på fyra terminer.,13.884095136359509
en,sv,"Capio strives for sound, long-term financial development based on the highest ethical, moral and legal standards.","Capio strävar efter en sund, långsiktig finansiell utveckling, baserad på högsta möjliga etiska, moraliska och rättsliga krav.",113,126,16,17,en_sv,"Capio strävar efter en sund, långsiktig finansiell utveckling baserad på högsta etiska, moraliska och rättsliga standarder.",62.89365616584058
en,sv,I know this comment is two years old.,Jag vet att detta inlägget är 2 år gammalt..,37,44,8,9,en_sv,Jag vet att denna kommentar är två år gammal.,16.807407519804237
en,sv,"For other possibilities, see Banking on the People here.","För andra möjligheter, se Banking on the People här.",56,52,9,9,en_sv,"För andra möjligheter, se Banking on the People här.",100.00000000000004
en,sv,"John Adams: ""The Chairman Dances",a) John Adams: Ordföranden dansar.,32,34,5,5,en_sv,"John Adams: "" Ordförande Dansen",21.82269148961668
en,sv,The following morning started with coffee as always.,Morgonen började med kaffe som vanligt.,52,39,8,6,en_sv,Följande morgon började med kaffe som alltid.,36.55552228545123
en,sv,What are you trying to accomplish with your landing page?,Vad försöker du uppnå med landningssidan?,57,41,10,6,en_sv,Vad försöker du åstadkomma med din landningssida?,23.356898886410015
en,sv,The social media buttons on our website are provided by the social media channels themselves.,Sociala medier på vår hemsida tillhandahålls av de sociala medierna själva.,93,75,15,11,en_sv,De sociala medieknapparna på vår webbplats tillhandahålls av de sociala mediekanalerna själva.,26.130226596777135
en,sv,Someone has forgotten their password.,Någon har glömt sitt lösenord.,37,30,5,5,en_sv,Någon har glömt sitt lösenord.,100.00000000000004
